Phase,Mag,MagErr,Curve,
0.285683,13.549108,0.004,13.549464,
0.286741,13.555929,0.005,13.550432,
0.286921,13.547101,0.004,13.550599,
0.287983,13.560921,0.005,13.551593,
0.288168,13.543094,0.004,13.551767,
0.289239,13.550914,0.005,13.55279,
0.289383,13.534088,0.004,13.552929,
0.290454,13.555907,0.005,13.553972,
0.29063,13.542081,0.004,13.554145,
0.291688,13.5609,0.005,13.555195,
0.291886,13.561074,0.004,13.555394,
0.292948,13.556892,0.005,13.556469,
0.293106,13.563067,0.004,13.55663,
0.294154,13.561885,0.005,13.55771,
0.294321,13.55806,0.004,13.557884,
0.295401,13.570878,0.005,13.559017,
0.295586,13.542053,0.004,13.559213,
0.296662,13.56787,0.005,13.560362,
0.296851,13.564046,0.004,13.560566,
0.298062,13.562039,0.004,13.561883,
0.299097,13.578856,0.005,13.563025,
0.299309,13.566032,0.004,13.563261,
0.300348,13.579848,0.005,13.564428,
0.301564,13.581841,0.005,13.565812,
0.302783,13.581834,0.005,13.567222,
0.303546,13.546009,0.004,13.568115,
0.304035,13.567827,0.005,13.568691,
0.304798,13.568002,0.004,13.569597,
0.306013,13.572995,0.004,13.571057,
0.307242,13.565988,0.004,13.572554,
0.308317,13.578801,0.005,13.573882,
0.308489,13.576981,0.004,13.574095,
0.309564,13.593794,0.005,13.575441,
0.309699,13.555974,0.004,13.575611,
0.310816,13.579787,0.005,13.577027,
0.310914,13.565967,0.004,13.577152,
0.312026,13.576779,0.005,13.57858,
0.31217,13.57796,0.004,13.578766,
0.313273,13.582772,0.005,13.5802,
0.313395,13.567954,0.004,13.580358,
0.314525,13.580765,0.005,13.581846,
0.314619,13.576947,0.004,13.581971,
0.31574,13.585758,0.005,13.583464,
0.31587,13.56694,0.004,13.583638,
0.316978,13.58875,0.005,13.585131,
0.317081,13.580933,0.004,13.585271,
0.31822,13.584743,0.005,13.586824,
0.318323,13.584926,0.004,13.586965,
0.319436,13.603736,0.005,13.588497,
0.319561,13.587919,0.004,13.588672,
0.320664,13.609728,0.005,13.590208,
0.320781,13.596912,0.004,13.590371,
0.321907,13.608721,0.005,13.591956,
0.323113,13.607714,0.005,13.593671,
0.324346,13.601707,0.005,13.595442,
0.325045,13.582889,0.004,13.596453,
0.325598,13.595699,0.005,13.597256,
0.326301,13.588882,0.004,13.598284,
0.327548,13.594875,0.004,13.60012,
0.328768,13.596868,0.004,13.601931,
0.329867,13.604674,0.005,13.603577,
0.330002,13.593861,0.004,13.60378,
0.331105,13.597667,0.005,13.605446,
0.331249,13.605854,0.004,13.605665,
0.332306,13.60466,0.005,13.607276,
0.333526,13.616652,0.005,13.609149,
0.334796,13.610645,0.005,13.611114,
0.336015,13.614638,0.005,13.613017,
0.33723,13.616631,0.005,13.614927,
0.33742,13.617819,0.005,13.615226,
0.338482,13.613623,0.005,13.616908,
0.339692,13.622616,0.005,13.618838,
0.340921,13.611609,0.005,13.620811,
0.341138,13.610799,0.006,13.62116,
0.342177,13.615601,0.005,13.622841,
0.34238,13.629792,0.005,13.62317,
0.343383,13.623594,0.005,13.624802,
0.344608,13.616587,0.005,13.626805,
0.345855,13.64058,0.005,13.628858,
0.34707,13.644572,0.005,13.63087,
0.351389,13.646547,0.005,13.638107,
0.352636,13.63954,0.005,13.64022,
0.353878,13.650532,0.005,13.642335,
0.355556,13.626718,0.005,13.645206,
0.356803,13.632711,0.005,13.64735,
0.357587,13.65251,0.005,13.648703,
0.35805,13.641704,0.005,13.649502,
0.358793,13.650503,0.005,13.650789,
0.35926,13.637697,0.005,13.651598,
0.360045,13.649496,0.005,13.652961,
0.36048,13.65569,0.005,13.653718,
0.361292,13.661488,0.005,13.655132,
0.361736,13.648683,0.005,13.655907,
0.362507,13.650481,0.005,13.657254,
0.364189,13.63667,0.005,13.660201,
0.365454,13.674662,0.005,13.662424,
0.366706,13.639655,0.005,13.664629,
0.367912,13.646649,0.005,13.666757,
0.36915,13.627642,0.005,13.668945,
0.370406,13.680635,0.005,13.671168,
0.375922,13.661604,0.005,13.68096,
0.377183,13.682597,0.005,13.6832,
0.378393,13.67759,0.004,13.685352,
0.379645,13.695583,0.005,13.687575,
0.387054,13.697541,0.005,13.700691,
0.388342,13.705534,0.004,13.702958,
0.389607,13.698527,0.005,13.705178,
0.390822,13.70552,0.005,13.707304,
0.392074,13.707513,0.005,13.709488,
0.39759,13.700482,0.005,13.719015,
0.398846,13.725475,0.004,13.721158,
0.400066,13.729468,0.005,13.723229,
0.401313,13.712461,0.005,13.725335,
0.402564,13.730454,0.004,13.727436,
0.403775,13.731448,0.004,13.729457,
0.405026,13.728441,0.004,13.731532,
0.406278,13.741434,0.004,13.733593,
0.407493,13.740427,0.004,13.73558,
0.408713,13.73542,0.004,13.73756,
0.40995,13.744413,0.005,13.739554,
0.411166,13.736406,0.005,13.741495,
0.412404,13.745399,0.005,13.743455,
0.413646,13.742392,0.005,13.745405,
